name,구분,lat,lon
범골역,일반역,37.728796,127.0436639
경전철의정부역,일반역,37.7373859,127.043314
의정부시청역,일반역,37.7392416,127.0348664
흥선역,일반역,37.7432842,127.0371212
의정부중앙역,일반역,37.7436839,127.0496634
동오역,일반역,37.7452685,127.056979
새말역,일반역,37.7488688,127.0637846
경기도청북부청사역,일반역,37.7507731,127.0716075
효자역,일반역,37.7539992,127.0772808
곤제역,일반역,37.7505337,127.083846
어룡역,일반역,37.7426961,127.0852263
송산역,일반역,37.737262,127.0872261
탑석역,일반역,37.7334668,127.0889285
미사역,일반역,37.5631234,127.1932345
하남풍산역,일반역,37.5512453,127.2031234
사상역,환승역,35.162305,128.985784
괘법르네시떼역,일반역,35.16331,128.977737
서부산유통지구역,일반역,35.166435,128.954807
공항역,일반역,35.171929,128.948574
덕두역,일반역,35.182006,128.954217
등구역,일반역,35.196194,128.963551
대저역,환승역,35.213056,128.960647
평강역,일반역,35.214048,128.950756
대사역,일반역,35.217686,128.938423
불암역,일반역,35.222192,128.927875
지내역,일반역,35.227492,128.923782
김해대학역,일반역,35.229015,128.915561
인제대역,일반역,35.2281,128.901761
김해시청역,일반역,35.227077,128.890425
부원역,일반역,35.226489,128.884
봉황역,일반역,35.227266,128.874381
수로왕릉역,일반역,35.232824,128.872207
박물관역,일반역,35.240072,128.871905
연지공원역,일반역,35.2496,128.869287
장신대역,일반역,35.259544,128.867202
가야대역,일반역,35.266785,128.865
신천역,일반역,37.511624,127.083391
동대구역,일반역,35.877303,128.627513
동구청역,일반역,35.8838366,128.6316231
아양교역,일반역,35.887162,128.6375663
동촌역,일반역,35.886159,128.649053
해안역,일반역,35.8838981,128.6593108
방촌역,일반역,35.879692,128.669976
용계역,일반역,35.876273,128.681415
율하역,일반역,35.869579,128.693032
신기역,일반역,35.866759,128.701658
반야월역,일반역,35.865999,128.713553
설화명곡역,일반역,35.7987183,128.4893178
화원역,일반역,35.8043566,128.5004042
대곡역,일반역,35.809497,128.510391
진천역,일반역,35.813826,128.520397
월배역,일반역,35.816276,128.528392
상인역,일반역,35.818966,128.535684
월촌역,일반역,35.823688,128.543277
송현역,일반역,35.831079,128.549562
성당못역,일반역,35.837471,128.555224
대명역,일반역,35.839302,128.563288
안지랑역,일반역,35.839243,128.571705
현충로역,일반역,35.840911,128.579194
풍무역,일반역,37.61243514,126.7324441
고촌역,일반역,37.60121656,126.7703242
김포공항역,환승역,37.56233524,126.8019511
판암역,일반역,36.316896,127.458264
신흥역,일반역,36.319652,127.448792
대동역,일반역,36.329532,127.442848
대전역,일반역,36.331583,127.433118
중앙로역,일반역,36.328664,127.425842
중구청역,일반역,36.324831,127.419627
서대전네거리역,일반역,36.322416,127.412518
오룡역,일반역,36.328582,127.405046
용문역,일반역,36.338252,127.393317
탄방역,일반역,36.34544,127.384603
시청역,일반역,36.351673,127.386739
정부청사역,일반역,36.357661,127.381047
갈마역,일반역,36.357522,127.372632
월평역,일반역,36.358272,127.364382
갑천역,일반역,36.354578,127.354467
유성온천역,일반역,36.353689,127.341524
구암역,일반역,36.356605,127.33083
현충원역,일반역,36.359021,127.321525
월드컵경기장역,일반역,36.366825,127.317859
노은역,일반역,36.37415,127.317835
지족역,일반역,36.384106,127.319501
반석역,일반역,36.392128,127.314581
중동역,일반역,35.1667,129.168604
해운대역,일반역,35.163672,129.158908
동백역,일반역,35.161484,129.147897
시립미술관역,일반역,35.168844,129.138933
센텀시티역,일반역,35.168827,129.131745
민락역,일반역,35.167228,129.121909
수영역,환승역,35.165227,129.114713
광안역,일반역,35.157916,129.113168
금련산역,일반역,35.149771,129.110961
남천역,일반역,35.142139,129.107978
경성대부경대역,일반역,35.137585,129.100548
대연역,일반역,35.135153,129.092161
못골역,일반역,35.134731,129.084415
지게골역,일반역,35.135574,129.074365
문현역,일반역,35.139151,129.067399
국제금융센터부산은행역,일반역,35.145817,129.066755
전포역,일반역,35.153102,129.065374
서면역(2호선)역,환승역,35.15774,129.059084
부암역,일반역,35.157444,129.050185
가야역,일반역,35.155883,129.042817
동의대역,일반역,35.153986,129.03275
개금역,일반역,35.153284,129.020533
냉정역,일반역,35.151254,129.012255
주례역,일반역,35.150508,129.003077
감전역,일반역,35.155528,128.991146
사상역,환승역,35.162361,128.984621
덕포역,일반역,35.173754,128.983955
모덕역,일반역,35.180366,128.985621
모라역,일반역,35.189663,128.988655
구남역,일반역,35.196804,128.994928
구명역,일반역,35.20252,128.999322
덕천역(2호선)역,환승역,35.210219,129.005673
수정역,일반역,35.223356,129.009198
화명역,일반역,35.236278,129.013918
율리역,일반역,35.246714,129.012918
동원역,일반역,35.258656,129.012392
금곡역,일반역,35.267248,129.0169054
호포역,일반역,35.280406,129.017097
증산역,일반역,35.308302,129.010246
부산대양산캠퍼스역,일반역,35.316955,129.0139408
남양산역,일반역,35.325359,129.019457
양산역,일반역,35.33872773,129.026391
기흥역,환승역,37.275657,127.115944
강남대역,일반역,37.270171,127.126023
지석역,일반역,37.269691,127.1366815
어정역,일반역,37.275311,127.143774
